Fourth Avenue*[^ 4],,B (IND),Culver Line,      F all times,
​      G all times,"October 7, 1933[10]",,,,
Seventh Avenue,,B (BMT),Brighton Line,      B weekdays until 11:00 p.m.,
​      Q all times,"August 1, 1920[9]",,,,
Seventh Avenue,,B (IND),Culver Line,"      F all times <F> two rush hour trains, peak direction",
​      G all times,"October 7, 1933[10]",,,,
Eighth Avenue,,B (BMT),Sea Beach Line,      N all times,
​      W selected rush-hour trips,"June 22, 1915[9]",,,,
Ninth Avenue,,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
Ninth Street*[^ 4],,B (BMT),Fourth Avenue Line,      D late nights,
​      N late nights,,,,,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
15th Street–Prospect Park,,B (IND),Culver Line,      F all times,
​      G all times,"October 7, 1933[10]",,,,
18th Avenue,,B (IND),Culver Line,"      F all times <F> two rush hour trains, peak direction​","March 16, 1919[10]"
18th Avenue,,B (BMT),Sea Beach Line,      N all times,
​      W selected rush-hour trips,"June 22, 1915[9]",,,,
18th Avenue,,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
20th Avenue,,B (BMT),Sea Beach Line,      N all times,
​      W selected rush-hour trips,"June 22, 1915[9]",,,,
20th Avenue,,B (BMT),West End Line,      D all times,"June 29, 1916[9]"
25th Avenue,,B (BMT),West End Line,      D all times,"June 29, 1916[9]"
25th Street,,B (BMT),Fourth Avenue Line,      D late nights,
​      N late nights,,,,,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
36th Street**,,B (BMT),Fourth Avenue Line,      D all times,
​      N all times,,,,,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
45th Street,,B (BMT),Fourth Avenue Line,      N late nights,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
50th Street,,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
53rd Street,,B (BMT),Fourth Avenue Line,      N late nights,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
55th Street,,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
59th Street**,,B (BMT),Fourth Avenue Line,      N all times,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
62nd Street*[^ 5],Handicapped/disabled access,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
71st Street,,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
77th Street,,B (BMT),Fourth Avenue Line,      R all times,"January 15, 1916[9]"
79th Street,,B (BMT),West End Line,      D all times,"June 24, 1916[9]"
86th Street,,B (BMT),Fourth Avenue Line,      R all times,"January 15, 1916[9]"
86th Street,,B (BMT),Sea Beach Line,      N all times,
​      W selected rush-hour trips,"June 22, 1915[9]",,,,
Alabama Avenue,,B (BMT),Jamaica Line,      J all times,
"​      Z rush hours, peak direction","December 21, 1916[9]",,,,
Atlantic Avenue,,B (BMT),Canarsie Line,      L all times,"July 28, 1906[11]"
Atlantic Avenue–Barclays Center*[^ 6],Handicapped/disabled access,B (BMT),Brighton Line,      B weekdays until 11:00 p.m.,
​      Q all times,"August 1, 1920[9]",,,,
Atlantic Avenue–Barclays Center**[^ 6][^ 7],Handicapped/disabled access,A (IRT),Eastern Parkway Line,      2 all times,
​      3 all except late nights,,,,,
​      4 all times,,,,,
​      5 weekdays only,"May 1, 1908[8]",,,,
Atlantic Avenue–Barclays Center**‡[^ 6],Handicapped/disabled access,B (BMT),Fourth Avenue Line,      D all times,
​      N all times,,,,,
​      R all times,,,,,
​      W limited rush hour service only,"June 22, 1915[9]",,,,
Avenue H,,B (BMT),Brighton Line,      Q all times,1907[9]
Avenue I,,B (IND),Culver Line,"      F all times <F> two rush hour trains, peak direction​","March 16, 1919[10]"
Avenue J,,B (BMT),Brighton Line,      Q all times,1907[9]
Avenue M,,B (BMT),Brighton Line,      Q all times,1907[9]
